index      asn country  hosts
499    AS18196      AU      6
500    AS14638      US      6
501    AS37136      BJ      6
502   AS270814              6
503    AS17917      AU      6
504    AS41937      RS      6
505     AS7438      UY      6
506    AS15377      UA      6
507   AS264461              6
508    AS28202              6
509     AS7131      AU      6
510    AS47237      KG      6
511   AS262720              6
512    AS28545      MX      6
513    AS31117      SK      6
514    AS50010      OM      6
515    AS33667      US      6
516    AS30986      GH      6
517     AS4771      AU      6
518    AS62352      ES      6
519   AS262691              6
520   AS269326              6
521   AS262476              6
522    AS43019      LB      6
523    AS58682      AU      6
524    AS52262      HN      6
525    AS37645      AO      6
526   AS264531              6
527    AS27653      HT      6
528    AS29244      BG      6
529    AS28668              6
530    AS36926      KE      6
531    AS28015      AR      6
532   AS265442              6
533    AS22258      US      6
534    AS61817              6
535    AS36988      SL      6
536   AS205877      TR      6
537    AS28952      SK      6
538    AS45245      AU      6
539   AS262973              6
540   AS266494              6
541    AS49273      UZ      6
542   AS201411      TR      6
543    AS61461      VE      6
544    AS29555      KZ      6
545     AS3741      MU      6
546    AS57910      ES      6
547   AS132203      AU      6
548    AS52932              6
549    AS15796      CH      6
550    AS20776      MQ      6
551    AS28258              6
552    AS13367      US      6
553   AS262848              6
554    AS52637              6
555    AS21826      UY      6
556   AS205254      IQ      6
557    AS43205      BG      6
558    AS56099      AU      6
559     AS9500      AU      6
560     AS1241      NL      6
561    AS17747      AU      6
562   AS138754      AU      6
563    AS33983      AL      6
564   AS135744      AU      6
565   AS147018      AU      6
566    AS45820      AU      6
567    AS61345      TR      6
568     AS7155      US      6
569    AS37057      LS      6
570    AS37054      MG      6
571   AS140399      AU      6
572    AS12849      IL      6
573      AS600      US      6
574    AS28191              6
575   AS141342      AU      6
576     AS5769      CA      6
577   AS264556              6
578    AS23655      AU      6
579    AS28171              6
580   AS263047      BR      6
581    AS53059      BR      6
582    AS12956      ES      6
583    AS32098      US      6
584   AS206375      TR      6
585   AS266802      EC      6
586    AS27773      SV      6
587    AS52263      CR      6
588    AS52783      BR      6
589    AS21283      SI      6
590    AS36908      TZ      6
591    AS60268      PS      6
592    AS28279      BR      6
593   AS265269      BR      6
594    AS52554      BR      6
595    AS12605      AT      6
596   AS134806      AU      6
597     AS1930      NL      6
598    AS53181      BR      5
599   AS136174      AU      5
600   AS262808      BR      5
601    AS56300      AU      5
602   AS262504      BR      5
603     AS5056      US      5
604    AS60372      LB      5
605   AS141711      AU      5
606   AS136902      AU      5
607   AS269921      DO      5
608    AS20214      US      5
609    AS28368      BR      5
610   AS263558      BR      5
611    AS48006              5
612    AS29314      PL      5
613    AS39184      BG      5
614    AS48252      MQ      5
615    AS37205      NE      5
616     AS8529      OM      5
617   AS265684      GT      5
618    AS33874      MT      5
619    AS28669      BR      5
620   AS131471      AU      5
621    AS42560      BA      5
622    AS61633      BR      5
623   AS265135      BR      5
624    AS55427      AU      5
625    AS41096              5
626    AS15994      HR      5
627    AS27924      TT      5
628   AS263585      BR      5
629   AS134489      AU      5
630    AS15146      BS      5
631   AS134326      AU      5
632   AS138730      AU      5
633    AS12741      PL      5
634     AS3737      US      5
635    AS23106      UY      5
636    AS27986      CL      5
637    AS27668      EC      5
638     AS5416      BH      5
639    AS20963      FO      5
640    AS25543              5
641     AS7016      US      5
642    AS31252      MD      5
643    AS48966      PS      5
644    AS13682      UY      5
645   AS135718      AU      5
646    AS20001      US      5
647    AS17547      AU      5
648    AS31012      HR      5
649    AS33922      LT      5
650    AS24559      AU      5
651   AS207617              5
652    AS38562      AU      5
653    AS52308      AR      5
654   AS201986      AM      5
655    AS37558      LY      5
656    AS43925      MD      5
657   AS263546      BR      5
658    AS31126      LB      5
659   AS203971      AZ      5
660    AS29695      NO      5
661    AS43309      UA      5
662   AS264738      AR      5
663   AS206163      TR      5
664   AS203424      NO      5
665   AS134021      AU      5
666     AS9354      AU      5
667   AS263629      BR      5
668   AS135269      AU      5
669    AS30950      NO      5
670    AS47794      SA      5
671    AS28183      BR      5
672    AS55501      AU      5
673   AS134674      AU      5
674    AS52965      BR      5
675    AS12709      MT      5
676    AS31452      BH      5
677    AS53089      BR      5
678   AS271253      BR      5
679     AS1916      UY      5
680    AS42183      LB      5
681    AS27800      TT      5
682    AS37190      CI      5
683    AS36937      ZA      5
684    AS53065      BR      5
685    AS57256      LB      5
686   AS263527      BR      5
687   AS207810              5
688    AS42841      SK      5
689    AS53093      BR      5
690   AS141778      AU      5
691    AS48206      LB      5
692    AS37649      SN      5
693    AS28153      BR      5
694    AS47232      CZ      5
695   AS269806      EC      5
696    AS48641      UA      5
697   AS262304      BR      5
698   AS139351      AU      5
699    AS27696      HN      5
700    AS49824              5
701   AS263260      BR      5
702     AS8339      AT      5
703   AS262197      CR      5
704   AS133720      AU      5
705    AS38805      AU      5
706   AS263042      BR      5
707    AS29584      AZ      5
708   AS134913      AU      5
709   AS262459      BR      5
710    AS34772      MK      5
711     AS1820      US      5
712   AS139922      AU      5
713   AS396304      AG      5
714   AS138039      AU      5
715    AS49434      FR      5
716   AS263791      AR      5
717     AS8948      IL      5
718    AS28173      BR      5
719   AS263276      BR      5
720    AS38247      AU      5
721    AS48728      QA      5
722   AS138290      AU      5
723     AS8818      GL      5
724    AS11172      UY      5
725    AS28538      MX      5
726    AS17511              5
727    AS55769      AU      5
728    AS52861      BR      5
729    AS15805      CY      5
730    AS17976      AU      5
731    AS60757      KZ      5
732    AS61510      AR      5
733   AS137166      AU      5
734   AS262675              5
735   AS268976              5
736   AS263423      BR      5
737    AS56995      PS      5
738    AS55915      AU      5
739    AS15108      US      5
740    AS33490      US      5
741    AS56246      AU      5
742   AS327885      TZ      5
743   AS210021      IQ      5
744   AS265217              5
745    AS22742      US      5
746   AS267705      DO      5
747   AS265329              5
748   AS265762      EC      5
749     AS8685      TR      5
750   AS328539      LY      5
751     AS3194      IQ      5
752    AS20764      RU      5
753     AS3225      KW      5
754    AS31148      UA      5
755   AS136929      AU      5
756   AS133301      AU      5
757    AS28294              5
758    AS13490      US      5
759    AS28114      AR      5
760    AS31169      NO      5
761   AS264223      BR      5
762    AS52988              5
763    AS52260      HT      5
764   AS205368      AM      5
765     AS6181      US      5
766   AS200154      AZ      5
767    AS48239      UA      5
768    AS37577      BF      5
769    AS34977      ES      5
770    AS51069              5
771   AS208972      TR      5
772    AS61163      UA      5
773   AS206088      AL      5
774   AS266989              5
775    AS45204      AU      5
776   AS262342              5
777   AS262756              5
778    AS50463      IL      5
779    AS42666      ES      5
780    AS28263              5
781   AS136334      AU      5
782    AS37229      TG      5
783    AS37468      AO      5
784    AS30999      MU      5
785     AS9231      AU      5
786    AS61512      PY      5
787    AS57704      PS      5
788   AS200404      TR      5
789    AS52951      BR      5
790    AS10118      AU      5
791    AS28554      MX      5
792    AS44395      AM      5
793    AS41202      UZ      5
794    AS53236              5
795   AS263500              5
796     AS6730      CH      5
797    AS27940      AR      4
798   AS263269              4
799   AS264949              4
800    AS52911              4
801    AS28398      MX      4
802    AS28359              4
803   AS266514              4
804    AS53112              4
805     AS8778      SK      4
806   AS268106              4
807   AS264528      BR      4
808    AS37531      NE      4
809   AS328297      SL      4
810   AS203653      IQ      4
811    AS25454      MD      4
812    AS52901              4
813    AS17709      AU      4
814    AS53142              4
815    AS38684              4
816     AS9329      AU      4
817    AS39138      DE      4
818   AS262404              4
819      AS803      CA      4
820   AS264685      AR      4
821   AS267684      EC      4
822   AS262726              4
823     AS8661      AL      4
824    AS18126              4
825   AS209835      ES      4
826   AS141177      AU      4
827   AS263292              4
828   AS135772      AU      4
829    AS26210      UY      4
830   AS131702      AU      4
831   AS264998      BR      4
832    AS14259      UY      4
833   AS198735      IQ      4
834   AS262239      BZ      4
835   AS265936              4
836    AS45499      AU      4
837    AS55666      AU      4
838   AS137127      AU      4
839   AS267484              4
840    AS25933      UY      4
841   AS200865      IQ      4
842    AS23607      AU      4
843    AS35132      NO      4
844    AS26794      US      4
845   AS263478              4
846   AS267828      GT      4
847    AS21949      CA      4
848   AS266460              4
849    AS37517      CV      4
850    AS52655              4
851   AS137095      AU      4
852   AS263917      BR      4
853    AS53121              4
854     AS4800      AU      4
855   AS327786      SS      4
856   AS263809      AR      4
857    AS52324      AR      4
858   AS264872              4
859   AS263146              4
860    AS44702      JO      4
861    AS53238              4
862   AS262773              4
863   AS266931              4
864   AS209714      TR      4
865     AS8445      AT      4
866    AS16116      IL      4
867   AS137645      AU      4
868     AS9934      AU      4
869    AS27759      HT      4
870   AS262765              4
871    AS11835      UY      4
872     AS7843      US      4
873    AS52444      AR      4
874    AS25471      LB      4
875    AS16527      US      4
876    AS55424      AU      4
877    AS52878      BR      4
878   AS211970      IQ      4
879   AS266009              4
880    AS52913              4
881    AS28007      VE      4
882    AS37294      MW      4
883   AS262883              4
884    AS44735      IS      4
885    AS12952      IQ      4
886    AS52980              4
887   AS263482              4
888   AS267199              4
889   AS136525      AU      4
890   AS269092              4
891   AS266201              4
892     AS1403      CA      4
893    AS28665      BR      4
894   AS262755              4
895    AS52751              4
896    AS63949      AU      4
897   AS264963              4
898    AS52873              4
899    AS16019      CZ      4
900   AS271799      DO      4
901   AS206358      AL      4
902   AS262952              4
903   AS264997              4
904   AS266131              4
905    AS53240              4
906   AS328073      LY      4
907   AS328727      UG      4
908    AS24499      AU      4
909   AS263311              4
910   AS135257      AU      4
911   AS210162      IQ      4
912    AS37228      RW      4
913   AS267470              4
914   AS267313              4
915   AS263077      BR      4
916    AS51375      BH      4
917    AS19863      UY      4
918    AS20928              4
919   AS264562              4
920    AS41435              4
921   AS263574              4
922   AS263080              4
923    AS56209      AU      4
924   AS267846              4
925    AS21183      AL      4
926    AS57324      IQ      4
927   AS138277      AU      4
928    AS45415      AU      4
929    AS28773              4
930     AS6886      UA      4
931   AS262293              4
932    AS58689      AU      4
933   AS131769      AU      4
934    AS59497              4
935    AS28292              4
936   AS141077      AU      4
937    AS23657      AU      4
938     AS6677      IS      4
939    AS43656              4
940   AS207620      TR      4
941   AS136879      AU      4
942     AS1680      NL      4
943   AS141031      AU      4
944   AS262801              4
945   AS262202              4
946   AS132480      AU      4
947    AS57269      ES      4
948   AS135232      AU      4
949     AS9876      AU      4
950   AS263665              4
951   AS327802      TD      4
952    AS12764      KG      4
953    AS37119      AO      4
954    AS14813      BB      4
955   AS262569              4
956    AS29107              4
957    AS61665              4
958   AS265911              4
959    AS12301      HU      4
960   AS141023      AU      4
961   AS136030      AU      4
962    AS37410      LR      4
963   AS206119      TR      4
964    AS62206      UA      4
965    AS28246      BR      4
966    AS37100      MU      4
967    AS23688      AU      4
968   AS268029              4
969    AS18046      AU      4
970   AS263920              4
971    AS28130              4
972   AS264825      EC      4
973    AS58731      AU      4
974    AS55410      AU      4
975    AS38493      AU      4
976   AS202987      LB      4
977    AS45582      AU      4
978    AS55850      AU      4
979   AS267420              4
980   AS139531      AU      4
981   AS263520              4
982   AS133652      AU      4
983    AS53224      BR      4
984   AS267521              4
985    AS30165      US      4
986   AS206893      IQ      4
987    AS52414      AR      4
988    AS10010              4
989   AS262288              4
990   AS266269              4
991    AS17676              4
992   AS269908      DO      4
993   AS205893      TR      4
994   AS132960      AU      4
995    AS34797      GE      4
996    AS21565      US      4
997    AS48326      SK      4
998    AS51336      PS      4
999    AS21107      BA      4
1000   AS37440      MW      4
1001  AS134937      AU      4
1002   AS25620      UY      4
1003   AS29170      AL      4
1004   AS21559      PR      4
1005   AS44558      TR      4
1006  AS132996      AU      4
1007     AS376      CA      4
1008   AS52630              4
1009   AS61923              4
1010   AS14282      UY      4
1011   AS16342      PL      4
1012   AS53094              4
1013   AS13329      US      4
1014   AS55352      AU      4
1015   AS23679      AU      4
1016  AS265201              4
1017  AS262220      CO      4
1018  AS264397              4
1019  AS139879      AU      4
1020   AS17483      AU      4
1021   AS47588      RS      4
1022  AS262213      CL      4
1023   AS10226      AU      4
1024    AS5742      US      4
1025  AS267345              4
1026  AS263124              4
1027    AS8637      ES      4
1028  AS262417              4
1029   AS43242      TR      4
1030   AS13046      HR      4
1031   AS23956      AU      4
1032   AS37233      NE      4
1033  AS263009              4
1034  AS133385      AU      4
1035   AS53066              4
1036   AS60471      AL      4
1037   AS38726      AU      4
1038   AS35432      CY      4
1039   AS38026      AU      4
1040   AS38203      AU      4
1041  AS201031      IQ      4
1042   AS48953      TR      4
1043   AS52908      BR      4
1044   AS12338      ES      4
1045   AS37342      MZ      4
1046   AS52312      AR      4
1047  AS263055              4
1048    AS2872      TR      4
1049   AS37529      GQ      4
1050   AS43940      ME      4
1051   AS10269      UY      4
1052    AS4618      AU      4
1053  AS262893              4
1054   AS10143      AU      4
1055  AS206471      IQ      4
1056    AS8359      RU      4
1057   AS52573              4
1058  AS266156              4
1059  AS134707      AU      4
1060    AS8681      GB      4
1061  AS138368      AU      4
1062  AS137000      AU      4
1063   AS24940      DE      4
1064  AS137491      AU      4
1065  AS262462              4
1066   AS13370      US      4
1067  AS200697      IQ      4
1068  AS264984              4
1069   AS45648      AU      4
1070   AS52547              4
1071  AS264681              4
1072   AS37349      TZ      4
1073   AS59989      LB      4
1074   AS28642      BR      4
1075   AS15808              4
1076   AS56665      LU      4
1077   AS30990      DJ      4
1078  AS142295      AU      4
1079   AS37717      TN      4
1080   AS17539      AU      4
1081   AS28481              4
1082  AS267699      EC      4
1083   AS47887      JO      4
1084    AS7679      AU      4
1085  AS262753              4
1086  AS137109      AU      4
1087   AS52794              4
1088   AS22884      UY      4
1089   AS22566      UY      4
1090  AS203675      RS      4
1091  AS133612      AU      4
1092  AS137824      AU      4
1093   AS30689      JM      4
1094    AS4773      AU      4
1095   AS52568              4
1096  AS141834      AU      3
1097  AS262385              3
1098   AS58322      IQ      3
1099  AS265184              3
1100  AS264294              3
1101   AS42334      LB      3
1102  AS138926      AU      3
1103    AS9694              3
1104  AS132471      AU      3
1105  AS263097      BR      3
1106   AS23404      US      3
1107  AS136946      AU      3
1108  AS262253              3
1109   AS43060      UZ      3
1110  AS263834              3
1111   AS42013      PS      3
1112   AS56400              3
1113   AS53143              3
1114  AS140469      AU      3
1115  AS204348      TR      3
1116  AS202293      KZ      3
1117   AS50482      KZ      3
1118  AS200064      ES      3
1119   AS13188      UA      3
1120   AS55943      AU      3
1121   AS28360              3
1122  AS263751      NI      3
1123   AS37622      MU      3
1124   AS45814      AU      3
1125  AS132770      AU      3
1126  AS140607      AU      3
1127   AS42580      PT      3
1128   AS21412      LT      3
1129  AS205473      IQ      3
1130   AS32277      CA      3
1131  AS136141      AU      3
1132   AS41329      KG      3
1133   AS53171              3
1134  AS269898      PE      3
1135  AS205800      IQ      3
1136    AS5645      CA      3
1137  AS262481              3
1138    AS8426      GB      3
1139  AS264991              3
1140   AS35197      LB      3
1141  AS262644              3
1142   AS20294      NL      3
1143   AS53195              3
1144  AS134922      AU      3
1145   AS17993      AU      3
1146   AS28080      AR      3
1147  AS271874      EC      3
1148   AS53160      BR      3
1149  AS262444              3
1150   AS52253      GY      3
1151   AS50616      AL      3
1152   AS52360      AR      3
1153  AS265061              3
1154   AS15440      LT      3
1155  AS198279      AL      3
1156   AS31143      BY      3
1157  AS136873      AU      3
1158   AS41327      IT      3
1159  AS134226      AU      3
1160  AS265741      AR      3
1161   AS36974      CI      3
1162  AS206611      IQ      3
1163   AS58765      AU      3
1164    AS6412      NL      3
1165  AS263361              3
1166  AS139043      AU      3
1167  AS207786      IQ      3
1168  AS137083      AU      3
1169  AS262901      BR      3
1170   AS53191              3
1171  AS138881      AU      3
1172   AS45942      AU      3
1173   AS26479      US      3
1174  AS264120              3
1175  AS265657      EC      3
1176   AS49588              3
1177  AS213295      AL      3
1178   AS52322      AR      3
1179  AS133711      AU      3
1180  AS212905      TR      3
1181  AS266166              3
1182   AS41371      KZ      3
1183   AS30844      GB      3
1184   AS29614              3
1185   AS53246              3
1186  AS135810      AU      3
1187  AS265126              3
1188  AS210402      IQ      3
1189   AS28142              3
1190   AS38794      AU      3
1191  AS262807              3
1192   AS52999              3
1193  AS265862      AR      3
1194   AS28310              3
1195   AS53118              3
1196   AS36902      SC      3
1197   AS38091              3
1198   AS61689      BR      3
1199  AS263250              3
1200   AS11081      UY      3
1201   AS56264      AU      3
1202  AS135239      AU      3
1203  AS138172      AU      3
1204  AS138910      AU      3
1205  AS135738      AU      3
1206  AS131464      AU      3
1207  AS133661      AU      3
1208   AS28073      AR      3
1209  AS265495              3
1210   AS61828              3
1211  AS262517              3
1212   AS11432      UY      3
1213   AS28100      AR      3
1214  AS264619      AR      3
1215   AS42652      DE      3
1216   AS46198      DO      3
1217   AS52657              3
1218  AS137681      AU      3
1219    AS4007      AU      3
1220  AS140151      AU      3
1221   AS27742      NI      3
