           asn  hosts
1083    AS9934     4
1090   AS27759     4
1200  AS262765     4
1197   AS11835     4
1932    AS7843     4
2162   AS52444     4
1191   AS25471     4
370    AS16527     4
1935   AS55424     4
1092   AS52878     4
1095  AS211970     4
1098  AS266009     4
1936   AS52913     4
1182   AS28007     4
1179   AS37294     4
1177  AS262883     4
1317   AS44735     4
718    AS12952     4
1321   AS52980     4
1585  AS263482     4
1626  AS267199     4
1621  AS136525     4
1620  AS269092     4
1616  AS266201     4
74      AS1403     4
1613   AS28665     4
1766  AS262755     4
1773   AS52751     4
1602   AS63949     4
1776  AS264963     4
84     AS52873     4
93     AS16019     4
1586  AS271799     4
1584  AS206358     4
1886  AS262952     4
1581  AS264997     4
1579  AS266131     4
108    AS53240     4
1792  AS328073     4
1793  AS328727     4
1556   AS24499     4
1555  AS263311     4
1554  AS135257     4
1796  AS210162     4
1549   AS37228     4
115   AS267470     4
1797  AS267313     4
1802  AS263077     4
1628   AS51375     4
1631   AS19863     4
1632   AS20928     4
63    AS264562     4
1714   AS41435     4
1707  AS263574     4
1702  AS263080     4
1728   AS56209     4
1699  AS267846     4
14     AS21183     4
1686   AS57324     4
1734  AS138277     4
1735   AS45415     4
35     AS28773     4
1675    AS6886     4
1674  AS262293     4
1671   AS58689     4
1669  AS131769     4
1666   AS59497     4
1664   AS28292     4
1744  AS141077     4
1658   AS23657     4
1657    AS6677     4
1746   AS43656     4
1747  AS207620     4
1748  AS136879     4
1651    AS1680     4
47    AS141031     4
1649  AS262801     4
1752  AS262202     4
62    AS132480     4
1536   AS57269     4
1533  AS135232     4
1526    AS9876     4
1411  AS263665     4
1400  AS327802     4
1858   AS12764     4
1395   AS37119     4
1860   AS14813     4
219   AS262569     4
1389   AS29107     4
1384   AS61665     4
1378  AS265911     4
236    AS12301     4
1373  AS141023     4
1372  AS136030     4
505    AS37410     4
2208  AS206119     4
1365   AS62206     4
1363   AS28246     4
1362   AS37100     4
249    AS23688     4
1356  AS268029     4
1353   AS18046     4
1350  AS263920     4
1347   AS28130     4
1342  AS264825     4
266    AS58731     4
1879   AS55410     4
270    AS38493     4
1327  AS202987     4
1323   AS45582     4
1408   AS55850     4
211   AS267420     4
1808  AS139531     4
1420  AS263520     4
1523  AS133652     4
1515   AS53224     4
1511  AS267521     4
1507   AS30165     4
1505  AS206893     4
1502   AS52414     4
162    AS10010     4
1493  AS262288     4
1822  AS266269     4
1484   AS17676     4
1482  AS269908     4
1477  AS205893     4
1826  AS132960     4
1469   AS34797     4
1463   AS21565     4
1462   AS48326     4
1459   AS51336     4
1833   AS21107     4
1455   AS37440     4
1834  AS134937     4
1444   AS25620     4
1436   AS29170     4
1432   AS21559     4
2227   AS44558     4
1426  AS132996     4
1425     AS376     4
1422   AS52630     4
2117   AS61923     4
1926   AS14282     4
900    AS16342     4
901    AS53094     4
659    AS13329     4
801    AS55352     4
692    AS23679     4
658   AS265201     4
2054  AS262220     4
528   AS264397     4
577   AS139879     4
578    AS17483     4
946    AS47588     4
643   AS262213     4
678    AS10226     4
990     AS5742     4
564   AS267345     4
745   AS263124     4
744     AS8637     4
706   AS262417     4
776    AS43242     4
710    AS13046     4
791    AS23956     4
689    AS37233     4
757   AS263009     4
893   AS133385     4
984    AS53066     4
976    AS60471     4
661    AS38726     4
924    AS35432     4
955    AS38026     4
570    AS38203     4
682   AS201031     4
849    AS48953     4
522    AS52908     4
773    AS12338     4
762    AS37342     4
518    AS52312     4
2008  AS263055     4
983     AS2872     4
852    AS37529     4
760    AS43940     4
853    AS10269     4
639     AS4618     4
2011  AS262893     4
902    AS10143     4
843   AS206471     4
739     AS8359     4
737    AS52573     4
601   AS266156     4
782   AS134707     4
872     AS8681     4
2086  AS138368     4
885   AS137000     4
713    AS24940     4
723   AS137491     4
1002  AS262462     4
596    AS13370     4
568   AS200697     4
870   AS264984     4
784    AS45648     4
1004   AS52547     4
878   AS264681     4
599    AS37349     4
531    AS59989     4
1007   AS28642     4
562    AS15808     4
721    AS56665     4
1997   AS30990     4
2021  AS142295     4
538    AS37717     4
711    AS17539     4
2001   AS28481     4
995   AS267699     4
2063   AS47887     4
735     AS7679     4
919   AS262753     4
2045  AS137109     4
2022   AS52794     4
553    AS22884     4
864    AS22566     4
2115  AS203675     4
940   AS133612     4
840   AS137824     4
638    AS30689     4
666     AS4773     4
769    AS52568     4
1835  AS141834     3
1841  AS262385     3
1443   AS58322     3
192   AS265184     3
1446  AS264294     3
1836   AS42334     3
1450  AS138926     3
1439    AS9694     3
830   AS132471     3
1995  AS263097     3
1453   AS23404     3
1471  AS136946     3
1492  AS262253     3
1491   AS43060     3
169   AS263834     3
1486   AS42013     3
647    AS56400     3
816    AS53143     3
1823  AS140469     3
1824  AS204348     3
1479  AS202293     3
820    AS50482     3
1828  AS200064     3
1473   AS13188     3
644    AS55943     3
1454   AS28360     3
1831  AS263751     3
177    AS37622     3
1465   AS45814     3
1464  AS132770     3
825   AS140607     3
1845   AS42580     3
1832   AS21412     3
826   AS205473     3
828    AS32277     3
1457  AS136141     3
1456   AS41329     3
2044   AS53171     3
1842  AS269898     3
627   AS205800     3
196     AS5645     3
197   AS262481     3
1385    AS8426     3
1717  AS264991     3
1383   AS35197     3
1382  AS262644     3
231    AS20294     3
1379   AS53195     3
860   AS134922     3
